cause,avoidable,men,women,people,Males,Females,Persons,Males,Females,Persons
Renal agenesis and other reduction defects of kidney (Q60),,7,5,12,np,np,np,—,np,np
Cystic kidney disease (Q61),,31,28,59,0.2,0.2,0.2,258,101,359
Congenital obstructive defects of renal pelvis and congenital malformations of ureter (Q62),,0,1,1,—,np,np,—,np,np
Other congenital malformations of kidney (Q63),,0,0,0,—,—,—,—,—,—
Other congenital malformations of urinary system (Q64),,2,0,2,np,—,np,—,—,—
Congenital malformations and deformations of the musculoskeletal system (Q65-Q79),,11,13,24,np,np,0.1,np,np,133
Congenital deformities of hip (Q65),,0,0,0,—,—,—,—,—,—
Congenital deformities of feet (Q66),,1,0,1,np,—,np,—,—,—
"Congenital musculoskeletal deformities of head, face, spine and chest (Q67)",,2,0,2,np,—,np,np,—,np
Other congenital musculoskeletal deformities (Q68),,0,0,0,—,—,—,—,—,—
Polydactyly (Q69),,0,0,0,—,—,—,—,—,—
Syndactyly (Q70),,0,0,0,—,—,—,—,—,—
Reduction defects of upper limb (Q71),,0,0,0,—,—,—,—,—,—
Reduction defects of lower limb (Q72),,0,0,0,—,—,—,—,—,—
Reduction defects of unspecified limb (Q73),,0,0,0,—,—,—,—,—,—
Other congenital malformations of limb(s) (Q74),,0,0,0,—,—,—,—,—,—
Other congenital malformations of skull and face bones (Q75),,0,0,0,—,—,—,—,—,—
Congenital malformations of spine and bony thorax (Q76),,0,1,1,—,np,np,—,np,np
Osteochondrodysplasia with defects of growth of tubular bones and spine (Q77),,0,2,2,—,np,np,—,—,—
Other osteochondrodysplasias (Q78),,4,6,10,np,np,np,np,np,np
"Congenital malformations of the musculoskeletal system, not elsewhere classified (Q79)",,4,4,8,np,np,np,—,np,np
Other congenital malformations (Q80-Q89),,51,24,75,0.4,0.2,0.3,739,474,"1,210"
Congenital ichthyosis (Q80),,0,0,0,—,—,—,—,—,—
Epidermolysis bullosa (Q81),,0,0,0,—,—,—,—,—,—
Other congenital malformations of skin (Q82),,0,1,1,—,np,np,—,np,np
Congenital malformations of breast (Q83),,0,0,0,—,—,—,—,—,—
Other congenital malformations of integument (Q84),,0,0,0,—,—,—,—,—,—
"Phakomatoses, not elsewhere classified (Q85)",,7,6,13,np,np,np,170,186,356
"Congenital malformation syndromes due to known exogenous causes, not elsewhere classified (Q86)",,0,0,0,—,—,—,—,—,—
Other specified congenital malformation syndromes affecting multiple systems (Q87),,21,8,29,0.2,np,0.1,475,193,666
"Other congenital malformations, not elsewhere classified (Q89)",,23,9,32,0.2,np,0.1,np,np,np
"Chromosomal abnormalities, not elsewhere classified (Q90-Q99)",,88,79,167,0.7,0.6,0.6,"1,454","1,502","2,947"
Down syndrome (Q90),,64,53,117,0.5,0.4,0.4,1251,962,"2,212"
Edwards syndrome and Patau syndrome (Q91),,8,10,18,np,np,np,np,—,np
"Other trisomies and partial trisomies of the autosomes, not elsewhere classified (Q92)",,5,2,7,np,np,np,np,np,np
"Monosomies and deletions from the autosomes, not elsewhere classified (Q93)",,5,11,16,np,np,np,np,334,428
"Balanced rearrangements and structural markers, not elsewhere classified (Q95)",,0,0,0,—,—,—,—,—,—
Turner syndrome (Q96),,0,1,1,—,np,np,—,np,np
"Other sex chromosome abnormalities, female phenotype, not elsewhere classified (Q97)",,0,0,0,—,—,—,—,—,—
"Other sex chromosome abnormalities, male phenotype, not elsewhere classified (Q98)",,3,0,3,np,—,np,np,—,np
"Other chromosome abnormalities, not elsewhere classified (Q99)",,3,2,5,np,np,np,np,np,np
"CHAPTER XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)",,994,"1,025","2,019",7.4,5.8,6.7,"14,122","6,807","20,870"
Symptoms and signs involving the circulatory and respiratory systems (R00-R09),,19,33,52,np,0.2,0.2,77,np,91
Abnormalities of heart beat (R00),,0,0,0,—,—,—,—,—,—
Cardiac murmurs and other cardiac sounds (R01),,0,0,0,—,—,—,—,—,—
"Gangrene, not elsewhere classified (R02)",,1,4,5,np,np,np,np,np,np
"Abnormal blood-pressure reading, without diagnosis (R03)",,0,0,0,—,—,—,—,—,—
Haemorrhage from respiratory passages (R04),,0,0,0,—,—,—,—,—,—
Cough (R05),,0,1,1,—,np,np,—,—,—
Abnormalities of breathing (R06),,1,1,2,np,np,np,—,—,—
Pain in throat and chest (R07),,0,0,0,—,—,—,—,—,—
Other symptoms and signs involving the circulatory and respiratory systems (R09),,17,27,44,np,0.1,0.1,71,np,79
Symptoms and signs involving the digestive system and abdomen (R10-R19),,8,16,24,np,np,0.1,np,np,np
Abdominal and pelvic pain (R10),,0,0,0,—,—,—,—,—,—
Nausea and vomiting (R11),,2,1,3,np,np,np,np,—,np
Heartburn (R12),,0,0,0,—,—,—,—,—,—
Dysphagia (R13),,3,3,6,np,np,np,np,—,np
Flatulence and related conditions (R14),,0,0,0,—,—,—,—,—,—
Faecal incontinence (R15),,0,0,0,—,—,—,—,—,—
"Hepatomegaly and splenomegaly, not elsewhere classified (R16)",,0,0,0,—,—,—,—,—,—
Unspecified jaundice (R17),,0,0,0,—,—,—,—,—,—
Ascites (R18),,0,0,0,—,—,—,—,—,—
Other symptoms and signs involving the digestive system and abdomen (R19),,3,12,15,np,np,np,—,np,np
Symptoms and signs involving the skin and subcutaneous tissue (R20-R23),,0,0,0,—,—,—,—,—,—
Disturbances of skin sensation (R20),,0,0,0,—,—,—,—,—,—
Rash and other nonspecific skin eruption (R21),,0,0,0,—,—,—,—,—,—
"Localized swelling, mass and lump of skin and subcutaneous tissue (R22)",,0,0,0,—,—,—,—,—,—
Other skin changes (R23),,0,0,0,—,—,—,—,—,—
Symptoms and signs involving the nervous and musculoskeletal systems (R25-R29),,2,1,3,np,np,np,np,—,np
Abnormal involuntary movements (R25),,0,0,0,—,—,—,—,—,—
Abnormalities of gait and mobility (R26),,0,0,0,—,—,—,—,—,—
Other lack of coordination (R27),,0,0,0,—,—,—,—,—,—
Other symptoms and signs involving the nervous and musculoskeletal systems (R29),,2,1,3,np,np,np,np,—,np
Symptoms and signs involving the urinary system (R30-R39),,0,0,0,—,—,—,—,—,—
Pain associated with micturition (R30),,0,0,0,—,—,—,—,—,—
Unspecified haematuria (R31),,0,0,0,—,—,—,—,—,—
Unspecified urinary incontinence (R32),,0,0,0,—,—,—,—,—,—
Retention of urine (R33),,0,0,0,—,—,—,—,—,—
Anuria and oliguria (R34),,0,0,0,—,—,—,—,—,—
Polyuria (R35),,0,0,0,—,—,—,—,—,—
Urethral discharge (R36),,0,0,0,—,—,—,—,—,—
Other symptoms and signs involving the urinary system (R39),,0,0,0,—,—,—,—,—,—
"Symptoms and signs involving cognition, perception, emotional state and behaviour (R40-R46)",,6,10,16,np,np,np,—,np,np
"Somnolence, stupor and coma (R40)",,1,1,2,np,np,np,—,—,—
Other symptoms and signs involving cognitive functions and awareness (R41),,5,9,14,np,np,np,—,np,np
Dizziness and giddiness (R42),,0,0,0,—,—,—,—,—,—
Disturbances of smell and taste (R43),,0,0,0,—,—,—,—,—,—
Other symptoms and signs involving general sensations and perceptions (R44),,0,0,0,—,—,—,—,—,—
Symptoms and signs involving emotional state (R45),,0,0,0,—,—,—,—,—,—
Symptoms and signs involving appearance and behaviour (R46),,0,0,0,—,—,—,—,—,—
Symptoms and signs involving speech and voice (R47-R49),,1,0,1,np,—,np,—,—,—
"Speech disturbances, not elsewhere classified (R47)",,1,0,1,np,—,np,—,—,—
"Dyslexia and other symbolic dysfunctions, not elsewhere classified (R48)",,0,0,0,—,—,—,—,—,—
Voice disturbances (R49),,0,0,0,—,—,—,—,—,—
General symptoms and signs (R50-R69),,214,474,688,1.5,2.2,2.0,418,276,688
Fever of unknown origin (R50),,1,0,1,np,—,np,np,—,np
Headache (R51),,0,0,0,—,—,—,—,—,—
"Pain, not elsewhere classified (R52)",,0,0,0,—,—,—,—,—,—
Malaise and fatigue (R53),,24,78,102,0.2,0.4,0.3,np,np,25
Senility (R54),,72,223,295,0.5,1.0,0.8,np,np,np
Syncope and collapse (R55),,0,0,0,—,—,—,—,—,—
"Convulsions, not elsewhere classified (R56)",,6,8,14,np,np,np,132,192,322
"Shock, not elsewhere classified (R57)",,9,10,19,np,np,np,np,np,25
"Haemorrhage, not elsewhere classified (R58)",,5,4,9,np,np,np,np,np,np
Enlarged lymph nodes (R59),,0,0,0,—,—,—,—,—,—
"Oedema, not elsewhere classified (R60)",,1,0,1,np,—,np,—,—,—
Hyperhidrosis (R61),,0,0,0,—,—,—,—,—,—
Lack of expected normal physiological development (R62),,0,0,0,—,—,—,—,—,—
Symptoms and signs concerning food and fluid intake (R63),,4,8,12,np,np,np,—,np,np
Cachexia (R64),,5,9,14,np,np,np,—,np,np
Systemic Inflammatory Response Syndrome [SIRS] (R65),,0,0,0,—,—,—,—,—,—
Other general symptoms and signs (R68),,87,134,221,0.6,0.6,0.6,182,36,215
Unknown and unspecified causes of morbidity (R69),,0,0,0,—,—,—,—,—,—
"Abnormal findings on examination of blood, without diagnosis (R70-R79)",,0,0,0,—,—,—,—,—,—
Elevated erythrocyte sedimentation rate and abnormality of plasma viscosity (R70),,0,0,0,—,—,—,—,—,—
Abnormality of red blood cells (R71),,0,0,0,—,—,—,—,—,—
"Abnormality of white blood cells, not elsewhere classified (R72)",,0,0,0,—,—,—,—,—,—
Elevated blood glucose level (R73),,0,0,0,—,—,—,—,—,—
Abnormal serum enzyme levels (R74),,0,0,0,—,—,—,—,—,—
Laboratory evidence of human immunodeficiency virus [HIV] (R75),,0,0,0,—,—,—,—,—,—
Other abnormal immunological findings in serum (R76),,0,0,0,—,—,—,—,—,—
Other abnormalities of plasma proteins (R77),,0,0,0,—,—,—,—,—,—
"Findings of drugs and other substances, not normally found in blood (R78)",,0,0,0,—,—,—,—,—,—
Other abnormal findings of blood chemistry (R79),,0,0,0,—,—,—,—,—,—
"Abnormal findings on examination of urine, without diagnosis (R80-R82)",,0,0,0,—,—,—,—,—,—
Isolated proteinuria (R80),,0,0,0,—,—,—,—,—,—
Glycosuria (R81),,0,0,0,—,—,—,—,—,—
Other abnormal findings in urine (R82),,0,0,0,—,—,—,—,—,—
"Abnormal findings on examination of other body fluids, substances and tissues, without diagnosis (R83-R89)",,0,0,0,—,—,—,—,—,—
Abnormal findings in cerebrospinal fluid (R83),,0,0,0,—,—,—,—,—,—
Abnormal findings in specimens from respiratory organs and thorax (R84),,0,0,0,—,—,—,—,—,—
Abnormal findings in specimens from digestive organs and abdominal cavity (R85),,0,0,0,—,—,—,—,—,—
Abnormal findings in specimens from male genital organs (R86),,0,0,0,—,—,—,—,—,—
Abnormal findings in specimens from female genital organs (R87),,0,0,0,—,—,—,—,—,—
"Abnormal findings in specimens from other organs, systems and tissues (R89)",,0,0,0,—,—,—,—,—,—
"Abnormal findings on diagnostic imaging and in function studies, without diagnosis (R90-R94)",,0,0,0,—,—,—,—,—,—
Abnormal findings on diagnostic imaging of central nervous system (R90),,0,0,0,—,—,—,—,—,—
Abnormal findings on diagnostic imaging of lung (R91),,0,0,0,—,—,—,—,—,—
Abnormal findings on diagnostic imaging of breast (R92),,0,0,0,—,—,—,—,—,—
Abnormal findings on diagnostic imaging of other body structures (R93),,0,0,0,—,—,—,—,—,—
Abnormal results of function studies (R94),,0,0,0,—,—,—,—,—,—
Ill-defined and unknown causes of mortality (R95-R99),,744,491,"1,235",5.6,3.3,4.4,"13,571","6,509","20,028"
Sudden infant death syndrome (R95),,16,8,24,np,np,0.1,—,—,—
"Other sudden death, cause unknown (R96)",,0,0,0,—,—,—,—,—,—
Unattended death (R98),,0,0,0,—,—,—,—,—,—
Other ill-defined and unspecified causes of mortality (R99),,728,483,"1,211",5.5,3.2,4.3,"13,571","6,509","20,028"
CHAPTER XX External causes of morbidity and mortality (V01-Y98),x,"6,933","3,878","10,811",54.4,24.6,39.1,"180,075","61,596","241,612"
Transport accidents (V01-V99),x,989,331,"1,320",7.8,2.5,5.1,"33,283","10,855","44,214"
Pedestrian injured in transport accident (V01-V09),x,152,75,227,1.2,0.5,0.8,"4,207","2,116","6,339"
Pedestrian injured in collision with pedal cycle (V01),x,0,0,0,—,—,—,—,—,—
Pedestrian injured in collision with two- or three-wheeled motor vehicle (V02),x,1,1,2,np,np,np,—,np,np
"Pedestrian injured in collision with car, pick-up truck or van (V03)",x,107,62,169,0.8,0.4,0.6,"3,014","1,714","4,741"
Pedestrian injured in collision with heavy transport vehicle or bus (V04),x,20,10,30,0.2,np,0.1,662,242,907
Pedestrian injured in collision with railway train or railway vehicle (V05),x,7,0,7,np,—,np,333,—,335
Pedestrian injured in collision with other nonmotor vehicle (V06),x,0,0,0,—,—,—,—,—,—
Pedestrian injured in other and unspecified transport accidents (V09),x,17,2,19,np,np,np,199,np,277
Pedal cyclist injured in transport accident (V10-V19),x,35,4,39,0.3,np,0.1,950,np,"1,081"
Pedal cyclist injured in collision with pedestrian or animal (V10),x,2,0,2,np,—,np,np,—,np
Pedal cyclist injured in collision with other pedal cycle (V11),x,1,0,1,np,—,np,np,—,np
Pedal cyclist injured in collision with two- or three-wheeled motor vehicle (V12),x,0,0,0,—,—,—,—,—,—
"Pedal cyclist injured in collision with car, pick-up truck or van (V13)",x,12,3,15,np,np,np,359,np,445
Pedal cyclist injured in collision with heavy transport vehicle or bus (V14),x,8,1,9,np,np,np,320,np,369
Pedal cyclist injured in collision with railway train or railway vehicle (V15),x,0,0,0,—,—,—,—,—,—
Pedal cyclist injured in collision with other nonmotor vehicle (V16),x,0,0,0,—,—,—,—,—,—
Pedal cyclist injured in collision with fixed or stationary object (V17),x,5,0,5,np,—,np,100,—,99
Pedal cyclist injured in noncollision transport accident (V18),x,5,0,5,np,—,np,np,—,np
Pedal cyclist injured in other and unspecified transport accidents (V19),x,2,0,2,np,—,np,np,—,np
Motorcycle rider injured in transport accident (V20-V29),x,205,10,215,1.6,np,0.8,"7,256",412,"7,674"
Motorcycle rider injured in collision with pedestrian or animal (V20),x,4,0,4,np,—,np,np,—,np
Motorcycle rider injured in collision with pedal cycle (V21),x,0,0,0,—,—,—,—,—,—
Motorcycle rider injured in collision with two- or three-wheeled motor vehicle (V22),x,7,0,7,np,—,np,205,—,206
"Motorcycle rider injured in collision with car, pick-up truck or van (V23)",x,66,4,70,0.5,np,0.3,"2,421",np,"2,646"
Motorcycle rider injured in collision with heavy transport vehicle or bus (V24),x,14,0,14,np,—,np,482,—,483
Motorcycle rider injured in collision with railway train or railway vehicle (V25),x,0,0,0,—,—,—,—,—,—
Motorcycle rider injured in collision with other nonmotor vehicle (V26),x,1,0,1,np,—,np,np,—,np
Motorcycle rider injured in collision with fixed or stationary object (V27),x,75,2,77,0.6,np,0.3,"2,754",np,"2,787"
Motorcycle rider injured in noncollision transport accident (V28),x,26,2,28,0.2,np,0.1,815,np,940
Motorcycle rider injured in other and unspecified transport accidents (V29),x,12,2,14,np,np,np,436,np,471
Occupant of three-wheeled motor vehicle injured in transport accident (V30-V39),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with pedestrian or animal (V30),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with pedal cycle (V31),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with two- or three-wheeled motor vehicle (V32),x,0,0,0,—,—,—,—,—,—
"Occupant of three-wheeled motor vehicle injured in collision with car, pick-up truck or van (V33)",x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with heavy transport vehicle or bus (V34),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with railway train or railway vehicle (V35),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with other nonmotor vehicle (V36),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in collision with fixed or stationary object (V37),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in noncollision transport accident (V38),x,0,0,0,—,—,—,—,—,—
Occupant of three-wheeled motor vehicle injured in other and unspecified transport accidents (V39),x,0,0,0,—,—,—,—,—,—
Car occupant injured in transport accident (V40-V49),x,464,214,678,3.7,1.6,2.7,"17,092","7,380","24,531"
Car occupant injured in collision with pedestrian or animal (V40),x,0,0,0,—,—,—,—,—,—
Car occupant injured in collision with pedal cycle (V41),x,0,0,0,—,—,—,—,—,—
Car occupant injured in collision with two- or three-wheeled motor vehicle (V42),x,0,0,0,—,—,—,—,—,—
"Car occupant injured in collision with car, pick-up truck or van (V43)",x,125,90,215,1.0,0.7,0.8,"3,667","2,712","6,373"
Car occupant injured in collision with heavy transport vehicle or bus (V44),x,51,27,78,0.4,0.2,0.3,"1,644",1107,"2,746"
Car occupant injured in collision with railway train or railway vehicle (V45),x,2,0,2,np,—,np,np,—,np
Car occupant injured in collision with other nonmotor vehicle (V46),x,2,2,4,np,np,np,np,np,np
Car occupant injured in collision with fixed or stationary object (V47),x,198,59,257,1.6,0.5,1.0,"8,045","2,183","10,282"
Car occupant injured in noncollision transport accident (V48),x,74,26,100,0.6,0.2,0.4,"3,088",997,"4,099"
Car occupant injured in other and unspecified transport accidents (V49),x,12,10,22,np,np,0.1,505,281,786
Occupant of pick-up truck or van injured in transport accident (V50-V59),x,7,7,14,np,np,np,264,221,488
Occupant of pick-up truck or van injured in collision with pedestrian or animal (V50),x,0,0,0,—,—,—,—,—,—
Occupant of pick-up truck or van injured in collision with pedal cycle (V51),x,0,0,0,—,—,—,—,—,—
Occupant of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle (V52),x,0,0,0,—,—,—,—,—,—
"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van (V53)",x,2,7,9,np,np,np,np,221,243
Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus (V54),x,1,0,1,np,—,np,np,—,np
Occupant of pick-up truck or van injured in collision with railway train or railway vehicle (V55),x,0,0,0,—,—,—,—,—,—
Occupant of pick-up truck or van injured in collision with other nonmotor vehicle (V56),x,0,0,0,—,—,—,—,—,—
Occupant of pick-up truck or van injured in collision with fixed or stationary object (V57),x,3,0,3,np,—,np,np,—,np
Occupant of pick-up truck or van injured in noncollision transport accident (V58),x,1,0,1,np,—,np,np,—,np
Occupant of pick-up truck or van injured in other and unspecified transport accidents (V59),x,0,0,0,—,—,—,—,—,—
Occupant of heavy transport vehicle injured in transport accident (V60-V69),x,34,2,36,0.3,np,0.1,1129,np,1179
Occupant of heavy transport vehicle injured in collision with pedestrian or animal (V60),x,2,0,2,np,—,np,np,—,np
Occupant of heavy transport vehicle injured in collision with pedal cycle (V61),x,0,0,0,—,—,—,—,—,—
Occupant of heavy transport vehicle injured in collision with two- or three-wheeled motor vehicle (V62),x,0,0,0,—,—,—,—,—,—
"Occupant of heavy transport vehicle injured in collision with car, pick-up truck or van (V63)",x,3,0,3,np,—,np,np,—,np
Occupant of heavy transport vehicle injured in collision with heavy transport vehicle or bus (V64),x,8,1,9,np,np,np,271,np,314
Occupant of heavy transport vehicle injured in collision with railway train or railway vehicle (V65),x,0,0,0,—,—,—,—,—,—
Occupant of heavy transport vehicle injured in collision with other nonmotor vehicle (V66),x,0,0,0,—,—,—,—,—,—
Occupant of heavy transport vehicle injured in collision with fixed or stationary object (V67),x,12,0,12,np,—,np,387,—,385
Occupant of heavy transport vehicle injured in noncollision transport accident (V68),x,9,1,10,np,np,np,369,np,380
Occupant of heavy transport vehicle injured in other and unspecified transport accidents (V69),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in transport accident (V70-V79),x,1,1,2,np,np,np,np,—,np
Bus occupant injured in collision with pedestrian or animal (V70),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with pedal cycle (V71),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with two- or three-wheeled motor vehicle (V72),x,0,0,0,—,—,—,—,—,—
"Bus occupant injured in collision with car, pick-up truck or van (V73)",x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with heavy transport vehicle or bus (V74),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with railway train or railway vehicle (V75),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with other nonmotor vehicle (V76),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in collision with fixed or stationary object (V77),x,0,0,0,—,—,—,—,—,—
Bus occupant injured in noncollision transport accident (V78),x,1,1,2,np,np,np,np,—,np
Bus occupant injured in other and unspecified transport accidents (V79),x,0,0,0,—,—,—,—,—,—
Other land transport accidents (V80-V89),x,40,7,47,0.3,np,0.2,"1,068",np,"1,175"
Animal-rider or occupant of animal-drawn vehicle injured in transport accident (V80),x,3,1,4,np,np,np,np,np,np
Occupant of railway train or railway vehicle injured in transport accident (V81),x,1,0,1,np,—,np,np,—,np
Occupant of streetcar injured in transport accident (V82),x,0,0,0,—,—,—,—,—,—
Occupant of special vehicle mainly used on industrial premises injured in transport accident (V83),x,4,0,4,np,—,np,np,—,np
Occupant of special vehicle mainly used in agriculture injured in transport accident (V84),x,9,0,9,np,—,np,184,—,184
Occupant of special construction vehicle injured in transport accident (V85),x,4,0,4,np,—,np,np,—,np
"Occupant of special all-terrain or other motor vehicle designed primarily for off-road use, injured in transport accident (V86)",x,11,2,13,np,np,np,482,np,568
Traffic accident of specified type but victim's mode of transport unknown (V87),x,0,0,0,—,—,—,—,—,—
Nontraffic accident of specified type but victim's mode of transport unknown (V88),x,0,0,0,—,—,—,—,—,—
"Motor- or nonmotor-vehicle accident, type of vehicle unspecified (V89)",x,8,4,12,np,np,np,119,np,134
Water transport accidents (V90-V94),x,29,4,33,0.2,np,0.1,809,np,"1,011"
Accident to watercraft causing drowning and submersion (V90),x,17,3,20,np,np,0.1,458,np,612
Accident to watercraft causing other injury (V91),x,2,0,2,np,—,np,np,—,np
Water-transport-related drowning and submersion without accident to watercraft (V92),x,9,1,10,np,np,np,264,np,312
"Accident on board watercraft without accident to watercraft, not causing drowning and submersion (V93)",x,0,0,0,—,—,—,—,—,—
Other and unspecified water transport accidents (V94),x,1,0,1,np,—,np,np,—,np
Air and space transport accidents (V95-V97),x,21,6,27,0.2,np,0.1,445,228,674
Accident to powered aircraft causing injury to occupant (V95),x,17,5,22,np,np,0.1,379,180,560
Accident to nonpowered aircraft causing injury to occupant (V96),x,3,1,4,np,np,np,np,np,np
Other specified air transport accidents (V97),x,1,0,1,np,—,np,np,—,np
Other and unspecified transport accidents (V98-V99),x,1,1,2,np,np,np,np,—,np
Other specified transport accidents (V98),x,1,1,2,np,np,np,np,—,np
Unspecified transport accident (V99),x,0,0,0,—,—,—,—,—,—
Other external causes of accidental injury (W00-X59),,"3,215","2,611","5,826",24.7,14.8,19.5,"53,111","19,289","72,296"
Falls (W00-W19),x,"1,428","1,524","2,952",10.4,7.8,9.0,"5,106","2,247","7,332"
Fall on same level involving ice and snow (W00),x,0,0,0,—,—,—,—,—,—
"Fall on same level from slipping, tripping and stumbling (W01)",x,165,171,336,1.2,0.9,1.0,649,306,951
"Fall involving ice-skates, skis, roller-skates or skateboards (W02)",x,0,1,1,—,np,np,—,np,np
"Other fall on same level due to collision with, or pushing by, another person (W03)",x,3,4,7,np,np,np,—,—,—
Fall while being carried or supported by other persons (W04),x,0,2,2,—,np,np,—,np,np
Fall involving wheelchair (W05),x,9,10,19,np,np,np,np,np,215
Fall involving bed (W06),x,43,40,83,0.3,0.2,0.3,92,129,221
Fall involving chair (W07),x,18,21,39,np,0.1,0.1,29,88,117
Fall involving other furniture (W08),x,5,2,7,np,np,np,np,—,np
Fall involving playground equipment (W09),x,0,0,0,—,—,—,—,—,—
Fall on and from stairs and steps (W10),x,48,31,79,0.4,0.2,0.3,574,210,784
Fall on and from ladder (W11),x,20,2,22,0.1,np,0.1,146,np,149
Fall on and from scaffolding (W12),x,0,0,0,—,—,—,—,—,—
"Fall from, out of or through building or structure (W13)",x,37,0,37,0.3,—,0.1,935,—,937
Fall from tree (W14),x,0,0,0,—,—,—,—,—,—
Fall from cliff (W15),x,8,3,11,np,np,np,350,np,468
Diving or jumping into water causing injury other than drowning or submersion (W16),x,2,1,3,np,np,np,np,np,np
Other fall from one level to another (W17),x,5,3,8,np,np,np,94,np,139
Other fall on same level (W18),x,21,23,44,0.2,0.1,0.1,77,117,190
Unspecified fall (W19),x,1044,"1,210","2,254",7.6,6.1,6.8,"1,891","1,034","2,912"
Exposure to inanimate mechanical forces (W20-W49),x,74,13,87,0.6,np,0.3,"2,261",212,"2,483"
"Struck by thrown, projected or falling object (W20)",x,18,3,21,np,np,0.1,637,np,732
Striking against or struck by sports equipment (W21),x,0,0,0,—,—,—,—,—,—
Striking against or struck by other objects (W22),x,2,1,3,np,np,np,np,—,np
"Caught, crushed, jammed or pinched in or between objects (W23)",x,16,3,19,np,np,np,475,np,523
"Contact with lifting and transmission devices, not elsewhere classified (W24)",x,4,0,4,np,—,np,np,—,np
Contact with sharp glass (W25),x,1,0,1,np,—,np,np,—,np
"Contact with knife, sword or dagger (W26)",x,0,0,0,—,—,—,—,—,—
Contact with nonpowered hand tool (W27),x,1,0,1,np,—,np,np,—,np
Contact with powered lawnmower (W28),x,0,0,0,—,—,—,—,—,—
Contact with other powered hand tools and household machinery (W29),x,5,1,6,np,np,np,86,np,92
Contact with agricultural machinery (W30),x,2,1,3,np,np,np,np,np,np
Contact with other and unspecified machinery (W31),x,15,0,15,np,—,np,484,—,483
Handgun discharge (W32),x,0,0,0,—,—,—,—,—,—
"Rifle, shotgun and larger firearm discharge (W33)",x,1,0,1,np,—,np,np,—,np
Discharge from other and unspecified firearms (W34),x,0,0,0,—,—,—,—,—,—
Explosion and rupture of boiler (W35),x,0,0,0,—,—,—,—,—,—
Explosion and rupture of gas cylinder (W36),x,1,0,1,np,—,np,np,—,np
"Explosion and rupture of pressurized tyre, pipe or hose (W37)",x,0,0,0,—,—,—,—,—,—
Explosion and rupture of other specified pressurized devices (W38),x,1,0,1,np,—,np,np,—,np
Discharge of firework (W39),x,0,0,0,—,—,—,—,—,—
Explosion of other materials (W40),x,2,0,2,np,—,np,np,—,np
Exposure to high-pressure jet (W41),x,0,0,0,—,—,—,—,—,—
Exposure to noise (W42),x,0,0,0,—,—,—,—,—,—
Exposure to vibration (W43),x,0,0,0,—,—,—,—,—,—
Foreign body entering into or through eye or natural orifice (W44),x,1,2,3,np,np,np,np,np,np
Foreign body or object entering through skin (W45),x,1,1,2,np,np,np,np,np,np
Contact with hypodermic needle (W46),x,0,0,0,—,—,—,—,—,—
Exposure to other and unspecified inanimate mechanical forces (W49),x,3,1,4,np,np,np,np,np,np
Exposure to animate mechanical forces (W50-W64),x,8,10,18,np,np,np,244,350,584
"Hit, struck, kicked, twisted, bitten or scratched by another person (W50)",x,1,3,4,np,np,np,np,np,np
Striking against or bumped into by another person (W51),x,1,1,2,np,np,np,np,np,np
"Crushed, pushed or stepped on by crowd or human stampede (W52)",x,0,0,0,—,—,—,—,—,—
Bitten by rat (W53),x,0,0,0,—,—,—,—,—,—
Bitten or struck by dog (W54),x,0,3,3,—,np,np,—,np,np
Bitten or struck by other mammals (W55),x,4,3,7,np,np,np,np,np,148
Contact with marine animal (W56),x,2,0,2,np,—,np,np,—,np
Bitten or stung by nonvenomous insect and other nonvenomous arthropods (W57),x,0,0,0,—,—,—,—,—,—
Bitten or struck by crocodile or alligator (W58),x,0,0,0,—,—,—,—,—,—
Bitten or crushed by other reptiles (W59),x,0,0,0,—,—,—,—,—,—
Contact with plant thorns and spines and sharp leaves (W60),x,0,0,0,—,—,—,—,—,—
Exposure to other and unspecified animate mechanical forces (W64),x,0,0,0,—,—,—,—,—,—
Accidental drowning and submersion (W65-W74),x,126,43,169,1.0,0.3,0.7,"4,407","1,665","6,086"
Drowning and submersion while in bath-tub (W65),x,5,5,10,np,np,np,np,np,375
